Sample_ID,Sample_Characteristics
B470,gastric tumor
B471,gastric tumor
B472,gastric tumor
B473,gastric tumor
B474,gastric tumor
B475,paired normal gastric tissue
B476,paired normal gastric tissue
B477,paired normal gastric tissue
B478,paired normal gastric tissue
B479,paired normal gastric tissue
B480,paired normal gastric tissue
B481,paired normal gastric tissue
B482,paired normal gastric tissue
B483,paired normal gastric tissue
B484,paired normal gastric tissue
B485,paired normal gastric tissue
B486,paired normal gastric tissue
B487,paired normal gastric tissue
B488,paired normal gastric tissue
B489,paired normal gastric tissue
B490,paired normal gastric tissue
B491,paired normal gastric tissue
B492,paired normal gastric tissue
B493,paired normal gastric tissue
B494,paired normal gastric tissue
B495,paired normal gastric tissue
B496,paired normal gastric tissue
B499,gastric tumor
B501,gastric tumor
B502,gastric tumor
B503,gastric tumor
B504,gastric tumor
B505,gastric tumor
B506,gastric tumor
B507,gastric tumor
B508,gastric tumor
B509,gastric tumor
B510,gastric tumor
B511,gastric tumor
B512,gastric tumor
B514,gastric tumor
B515,gastric tumor
B516,gastric tumor
B518,gastric tumor
B519,gastric tumor
B520,gastric tumor
B521,gastric tumor
B522,gastric tumor
B523,gastric tumor
B524,gastric tumor
B525,gastric tumor
B526,gastric tumor
B527,gastric tumor
B530,paired normal gastric tissue
B532,paired normal gastric tissue
B533,paired normal gastric tissue
B534,paired normal gastric tissue
B535,paired normal gastric tissue
B536,paired normal gastric tissue
B537,paired normal gastric tissue
B538,paired normal gastric tissue
B539,paired normal gastric tissue
B540,paired normal gastric tissue
B541,paired normal gastric tissue
B542,paired normal gastric tissue
B543,paired normal gastric tissue
B545,paired normal gastric tissue
B546,paired normal gastric tissue
B547,paired normal gastric tissue
B549,paired normal gastric tissue
B550,paired normal gastric tissue
B551,paired normal gastric tissue
B552,paired normal gastric tissue
B553,paired normal gastric tissue
B554,paired normal gastric tissue
B555,paired normal gastric tissue
B556,paired normal gastric tissue
B557,paired normal gastric tissue
B77,gastric tumor
B78,gastric tumor
B79,gastric tumor
B80,gastric tumor
B82,gastric tumor
B83,gastric tumor
B84,gastric tumor
B85,gastric tumor
B86,gastric tumor
B87,gastric tumor
B88,gastric tumor
B89,gastric tumor
B90,gastric tumor
B91,gastric tumor
B92,gastric tumor
B93,gastric tumor
B94,gastric tumor
B95,gastric tumor
B96,gastric tumor
B97,gastric tumor
B98,gastric tumor
B99,gastric tumor
